"행정구역","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~9세","2017년_거주자_10~19세","2017년_거주자_20~29세","2017년_거주자_30~39세","2017년_거주자_40~49세","2017년_거주자_50~59세","2017년_거주자_60~69세","2017년_거주자_70~79세","2017년_거주자_80~89세","2017년_거주자_90~99세","2017년_거주자_100세 이상","2017년_남_거주자_총인구수","2017년_남_거주자_연령구간인구수","2017년_남_거주자_0~9세","2017년_남_거주자_10~19세","2017년_남_거주자_20~29세","2017년_남_거주자_30~39세","2017년_남_거주자_40~49세","2017년_남_거주자_50~59세","2017년_남_거주자_60~69세","2017년_남_거주자_70~79세","2017년_남_거주자_80~89세","2017년_남_거주자_90~99세","2017년_남_거주자_100세 이상","2017년_여_거주자_총인구수","2017년_여_거주자_연령구간인구수","2017년_여_거주자_0~9세","2017년_여_거주자_10~19세","2017년_여_거주자_20~29세","2017년_여_거주자_30~39세","2017년_여_거주자_40~49세","2017년_여_거주자_50~59세","2017년_여_거주자_60~69세","2017년_여_거주자_70~79세","2017년_여_거주자_80~89세","2017년_여_거주자_90~99세","2017년_여_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~9세","2018년_거주자_10~19세","2018년_거주자_20~29세","2018년_거주자_30~39세","2018년_거주자_40~49세","2018년_거주자_50~59세","2018년_거주자_60~69세","2018년_거주자_70~79세","2018년_거주자_80~89세","2018년_거주자_90~99세","2018년_거주자_100세 이상","2018년_남_거주자_총인구수","2018년_남_거주자_연령구간인구수","2018년_남_거주자_0~9세","2018년_남_거주자_10~19세","2018년_남_거주자_20~29세","2018년_남_거주자_30~39세","2018년_남_거주자_40~49세","2018년_남_거주자_50~59세","2018년_남_거주자_60~69세","2018년_남_거주자_70~79세","2018년_남_거주자_80~89세","2018년_남_거주자_90~99세","2018년_남_거주자_100세 이상","2018년_여_거주자_총인구수","2018년_여_거주자_연령구간인구수","2018년_여_거주자_0~9세","2018년_여_거주자_10~19세","2018년_여_거주자_20~29세","2018년_여_거주자_30~39세","2018년_여_거주자_40~49세","2018년_여_거주자_50~59세","2018년_여_거주자_60~69세","2018년_여_거주자_70~79세","2018년_여_거주자_80~89세","2018년_여_거주자_90~99세","2018년_여_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~9세","2019년_거주자_10~19세","2019년_거주자_20~29세","2019년_거주자_30~39세","2019년_거주자_40~49세","2019년_거주자_50~59세","2019년_거주자_60~69세","2019년_거주자_70~79세","2019년_거주자_80~89세","2019년_거주자_90~99세","2019년_거주자_100세 이상","2019년_남_거주자_총인구수","2019년_남_거주자_연령구간인구수","2019년_남_거주자_0~9세","2019년_남_거주자_10~19세","2019년_남_거주자_20~29세","2019년_남_거주자_30~39세","2019년_남_거주자_40~49세","2019년_남_거주자_50~59세","2019년_남_거주자_60~69세","2019년_남_거주자_70~79세","2019년_남_거주자_80~89세","2019년_남_거주자_90~99세","2019년_남_거주자_100세 이상","2019년_여_거주자_총인구수","2019년_여_거주자_연령구간인구수","2019년_여_거주자_0~9세","2019년_여_거주자_10~19세","2019년_여_거주자_20~29세","2019년_여_거주자_30~39세","2019년_여_거주자_40~49세","2019년_여_거주자_50~59세","2019년_여_거주자_60~69세","2019년_여_거주자_70~79세","2019년_여_거주자_80~89세","2019년_여_거주자_90~99세","2019년_여_거주자_100세 이상","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~9세","2020년_거주자_10~19세","2020년_거주자_20~29세","2020년_거주자_30~39세","2020년_거주자_40~49세","2020년_거주자_50~59세","2020년_거주자_60~69세","2020년_거주자_70~79세","2020년_거주자_80~89세","2020년_거주자_90~99세","2020년_거주자_100세 이상","2020년_남_거주자_총인구수","2020년_남_거주자_연령구간인구수","2020년_남_거주자_0~9세","2020년_남_거주자_10~19세","2020년_남_거주자_20~29세","2020년_남_거주자_30~39세","2020년_남_거주자_40~49세","2020년_남_거주자_50~59세","2020년_남_거주자_60~69세","2020년_남_거주자_70~79세","2020년_남_거주자_80~89세","2020년_남_거주자_90~99세","2020년_남_거주자_100세 이상","2020년_여_거주자_총인구수","2020년_여_거주자_연령구간인구수","2020년_여_거주자_0~9세","2020년_여_거주자_10~19세","2020년_여_거주자_20~29세","2020년_여_거주자_30~39세","2020년_여_거주자_40~49세","2020년_여_거주자_50~59세","2020년_여_거주자_60~69세","2020년_여_거주자_70~79세","2020년_여_거주자_80~89세","2020년_여_거주자_90~99세","2020년_여_거주자_100세 이상","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~9세","2021년_거주자_10~19세","2021년_거주자_20~29세","2021년_거주자_30~39세","2021년_거주자_40~49세","2021년_거주자_50~59세","2021년_거주자_60~69세","2021년_거주자_70~79세","2021년_거주자_80~89세","2021년_거주자_90~99세","2021년_거주자_100세 이상","2021년_남_거주자_총인구수","2021년_남_거주자_연령구간인구수","2021년_남_거주자_0~9세","2021년_남_거주자_10~19세","2021년_남_거주자_20~29세","2021년_남_거주자_30~39세","2021년_남_거주자_40~49세","2021년_남_거주자_50~59세","2021년_남_거주자_60~69세","2021년_남_거주자_70~79세","2021년_남_거주자_80~89세","2021년_남_거주자_90~99세","2021년_남_거주자_100세 이상","2021년_여_거주자_총인구수","2021년_여_거주자_연령구간인구수","2021년_여_거주자_0~9세","2021년_여_거주자_10~19세","2021년_여_거주자_20~29세","2021년_여_거주자_30~39세","2021년_여_거주자_40~49세","2021년_여_거주자_50~59세","2021년_여_거주자_60~69세","2021년_여_거주자_70~79세","2021년_여_거주자_80~89세","2021년_여_거주자_90~99세","2021년_여_거주자_100세 이상","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~9세","2022년_거주자_10~19세","2022년_거주자_20~29세","2022년_거주자_30~39세","2022년_거주자_40~49세","2022년_거주자_50~59세","2022년_거주자_60~69세","2022년_거주자_70~79세","2022년_거주자_80~89세","2022년_거주자_90~99세","2022년_거주자_100세 이상","2022년_남_거주자_총인구수","2022년_남_거주자_연령구간인구수","2022년_남_거주자_0~9세","2022년_남_거주자_10~19세","2022년_남_거주자_20~29세","2022년_남_거주자_30~39세","2022년_남_거주자_40~49세","2022년_남_거주자_50~59세","2022년_남_거주자_60~69세","2022년_남_거주자_70~79세","2022년_남_거주자_80~89세","2022년_남_거주자_90~99세","2022년_남_거주자_100세 이상","2022년_여_거주자_총인구수","2022년_여_거주자_연령구간인구수","2022년_여_거주자_0~9세","2022년_여_거주자_10~19세","2022년_여_거주자_20~29세","2022년_여_거주자_30~39세","2022년_여_거주자_40~49세","2022년_여_거주자_50~59세","2022년_여_거주자_60~69세","2022년_여_거주자_70~79세","2022년_여_거주자_80~89세","2022년_여_거주자_90~99세","2022년_여_거주자_100세 이상"
"부산광역시  (2600000000)","3,432,384","3,432,384","258,586","309,403","449,854","463,141","537,441","590,196","465,628","256,761","90,625","10,504","245","1,690,216","1,690,216","132,843","161,454","236,980","236,610","268,322","284,838","222,407","114,505","30,182","2,053","22","1,742,168","1,742,168","125,743","147,949","212,874","226,531","269,119","305,358","243,221","142,256","60,443","8,451","223","3,403,753","3,403,753","251,309","295,563","442,858","450,404","519,883","584,099","481,130","269,614","97,068","11,582","243","1,673,625","1,673,625","129,123","153,701","232,733","229,703","260,888","281,635","229,445","120,821","33,261","2,287","28","1,730,128","1,730,128","122,186","141,862","210,125","220,701","258,995","302,464","251,685","148,793","63,807","9,295","215","3,376,566","3,376,566","243,202","282,706","434,322","431,676","510,967","574,272","500,090","280,518","105,629","12,897","287","1,657,053","1,657,053","124,863","146,529","227,772","220,268","256,731","277,254","237,779","126,121","37,038","2,659","39","1,719,513","1,719,513","118,339","136,177","206,550","211,408","254,236","297,018","262,311","154,397","68,591","10,238","248","3,356,587","3,356,587","232,242","271,503","429,372","415,619","504,972","560,893","524,457","289,518","113,855","13,843","313","1,644,092","1,644,092","119,113","140,315","223,682","212,522","254,147","271,784","248,339","130,617","40,691","2,834","48","1,712,495","1,712,495","113,129","131,188","205,690","203,097","250,825","289,109","276,118","158,901","73,164","11,009","265","3,330,119","3,330,119","219,511","265,672","414,434","403,202","498,156","549,342","544,562","296,636","123,117","15,138","349","1,628,484","1,628,484","112,688","136,867","214,785","206,724","251,257","267,274","256,849","134,005","44,769","3,218","48","1,701,635","1,701,635","106,823","128,805","199,649","196,478","246,899","282,068","287,713","162,631","78,348","11,920","301","3,303,295","3,303,295","206,293","265,617","394,536","394,741","491,435","539,562","552,889","307,949","133,886","16,003","384","1,612,001","1,612,001","105,808","136,589","203,531","202,525","247,766","263,048","260,442","139,119","49,629","3,479","65","1,691,294","1,691,294","100,485","129,028","191,005","192,216","243,669","276,514","292,447","168,830","84,257","12,524","319"
"부산광역시 부산광역시 중구 (2611000000)","42,898","42,898","1,874","2,749","5,612","5,164","6,394","7,500","7,216","4,579","1,581","223","6","21,045","21,045","973","1,375","2,883","2,798","3,376","3,672","3,390","2,017","519","41","1","21,853","21,853","901","1,374","2,729","2,366","3,018","3,828","3,826","2,562","1,062","182","5","41,515","41,515","1,695","2,447","5,445","4,814","5,880","7,299","7,275","4,675","1,729","252","4","20,405","20,405","884","1,230","2,782","2,615","3,189","3,599","3,412","2,051","589","53","1","21,110","21,110","811","1,217","2,663","2,199","2,691","3,700","3,863","2,624","1,140","199","3","40,618","40,618","1,494","2,248","5,437","4,528","5,496","7,078","7,411","4,775","1,867","278","6","19,955","19,955","784","1,130","2,757","2,458","2,988","3,519","3,517","2,077","666","58","1","20,663","20,663","710","1,118","2,680","2,070","2,508","3,559","3,894","2,698","1,201","220","5","40,273","40,273","1,319","2,012","5,650","4,404","5,247","6,846","7,584","4,918","1,978","306","9","19,716","19,716","689","1,025","2,785","2,394","2,870","3,439","3,592","2,140","711","68","3","20,557","20,557","630","987","2,865","2,010","2,377","3,407","3,992","2,778","1,267","238","6","40,076","40,076","1,116","1,861","5,816","4,439","5,046","6,607","7,796","4,921","2,152","315","7","19,525","19,525","590","933","2,817","2,387","2,776","3,351","3,721","2,108","768","74","0","20,551","20,551","526","928","2,999","2,052","2,270","3,256","4,075","2,813","1,384","241","7","39,393","39,393","1,016","1,775","5,664","4,388","4,748","6,411","7,757","4,972","2,322","331","9","19,082","19,082","555","888","2,664","2,314","2,588","3,323","3,695","2,141","829","84","1","20,311","20,311","461","887","3,000","2,074","2,160","3,088","4,062","2,831","1,493","247","8"
"부산광역시 부산광역시 서구 (2614000000)","107,733","107,733","5,836","8,340","13,826","12,265","15,240","18,959","17,215","11,274","4,240","528","10","52,817","52,817","3,022","4,291","7,075","6,420","8,037","9,439","8,150","4,839","1,437","103","4","54,916","54,916","2,814","4,049","6,751","5,845","7,203","9,520","9,065","6,435","2,803","425","6","108,230","108,230","6,034","7,998","13,776","12,299","15,004","18,725","17,662","11,651","4,486","583","12","52,929","52,929","3,173","4,069","6,978","6,394","7,864","9,366","8,380","5,033","1,559","111","2","55,301","55,301","2,861","3,929","6,798","5,905","7,140","9,359","9,282","6,618","2,927","472","10","105,959","105,959","5,743","7,482","13,512","11,503","14,428","17,997","17,934","11,848","4,855","646","11","51,600","51,600","2,993","3,808","6,769","5,949","7,521","9,132","8,401","5,166","1,721","139","1","54,359","54,359","2,750","3,674","6,743","5,554","6,907","8,865","9,533","6,682","3,134","507","10","105,937","105,937","5,622","7,270","13,466","11,029","14,351","17,494","18,652","12,095","5,295","645","18","51,369","51,369","2,917","3,685","6,639","5,665","7,458","8,932","8,729","5,299","1,909","131","5","54,568","54,568","2,705","3,585","6,827","5,364","6,893","8,562","9,923","6,796","3,386","514","13","104,301","104,301","5,309","7,071","12,982","10,465","13,978","16,848","19,129","12,171","5,628","702","18","50,438","50,438","2,772","3,618","6,280","5,369","7,238","8,683","8,943","5,330","2,071","129","5","53,863","53,863","2,537","3,453","6,702","5,096","6,740","8,165","10,186","6,841","3,557","573","13","104,669","104,669","5,198","7,130","12,480","10,470","13,936","16,847","19,304","12,451","6,092","743","18","50,540","50,540","2,747","3,621","6,073","5,372","7,168","8,606","9,117","5,448","2,224","158","6","54,129","54,129","2,451","3,509","6,407","5,098","6,768","8,241","10,187","7,003","3,868","585","12"
"부산광역시 부산광역시 동구 (2617000000)","87,031","87,031","4,332","6,040","10,338","10,266","12,546","15,015","14,649","9,768","3,677","390","10","43,069","43,069","2,240","3,129","5,406","5,615","6,795","7,482","6,926","4,124","1,247","104","1","43,962","43,962","2,092","2,911","4,932","4,651","5,751","7,533","7,723","5,644","2,430","286","9","85,118","85,118","4,075","5,563","10,153","9,906","11,934","14,577","14,611","10,007","3,861","423","8","42,007","42,007","2,129","2,904","5,206","5,432","6,421","7,325","6,924","4,230","1,328","107","1","43,111","43,111","1,946","2,659","4,947","4,474","5,513","7,252","7,687","5,777","2,533","316","7","86,396","86,396","4,156","5,325","10,324","10,105","11,816","14,586","15,106","10,299","4,191","480","8","42,526","42,526","2,176","2,747","5,293","5,448","6,393","7,372","7,165","4,359","1,449","122","2","43,870","43,870","1,980","2,578","5,031","4,657","5,423","7,214","7,941","5,940","2,742","358","6","87,206","87,206","4,084","5,121","10,412","10,264","11,707","14,319","15,725","10,510","4,536","519","9","42,765","42,765","2,149","2,651","5,278","5,486","6,291","7,305","7,429","4,517","1,532","124","3","44,441","44,441","1,935","2,470","5,134","4,778","5,416","7,014","8,296","5,993","3,004","395","6","86,633","86,633","3,962","4,803","10,234","10,315","11,421","14,012","15,864","10,556","4,887","567","12","42,402","42,402","2,105","2,486","5,138","5,435","6,159","7,228","7,467","4,584","1,666","131","3","44,231","44,231","1,857","2,317","5,096","4,880","5,262","6,784","8,397","5,972","3,221","436","9","85,897","85,897","3,790","4,663","9,685","10,349","11,195","13,719","15,843","10,713","5,336","586","18","41,924","41,924","1,975","2,411","4,779","5,448","6,015","7,114","7,522","4,643","1,878","133","6","43,973","43,973","1,815","2,252","4,906","4,901","5,180","6,605","8,321","6,070","3,458","453","12"
"부산광역시 부산광역시 영도구 (2620000000)","121,464","121,464","6,580","9,408","13,731","13,406","17,397","21,824","20,631","13,408","4,563","500","16","60,154","60,154","3,343","4,912","7,452","7,205","9,160","10,986","9,838","5,708","1,464","84","2","61,310","61,310","3,237","4,496","6,279","6,201","8,237","10,838","10,793","7,700","3,099","416","14","118,035","118,035","6,122","8,739","13,058","12,511","16,370","21,107","20,823","13,865","4,862","560","18","58,416","58,416","3,112","4,549","7,082","6,728","8,634","10,650","9,968","5,945","1,655","92","1","59,619","59,619","3,010","4,190","5,976","5,783","7,736","10,457","10,855","7,920","3,207","468","17","114,694","114,694","5,728","7,991","12,431","11,424","15,639","20,177","21,124","14,154","5,371","633","22","56,663","56,663","2,886","4,160","6,783","6,152","8,251","10,215","10,117","6,106","1,883","107","3","58,031","58,031","2,842","3,831","5,648","5,272","7,388","9,962","11,007","8,048","3,488","526","19","111,391","111,391","5,132","7,382","11,914","10,434","14,867","19,156","21,740","14,334","5,758","655","19","54,932","54,932","2,589","3,821","6,526","5,628","7,811","9,776","10,393","6,250","2,017","119","2","56,459","56,459","2,543","3,561","5,388","4,806","7,056","9,380","11,347","8,084","3,741","536","17","109,804","109,804","4,869","7,026","11,418","10,162","14,396","18,395","22,159","14,472","6,189","698","20","54,052","54,052","2,478","3,568","6,257","5,486","7,527","9,488","10,598","6,338","2,171","140","1","55,752","55,752","2,391","3,458","5,161","4,676","6,869","8,907","11,561","8,134","4,018","558","19","107,590","107,590","4,530","6,845","10,495","9,901","13,920","17,728","22,061","14,624","6,732","735","19","52,925","52,925","2,279","3,535","5,765","5,366","7,261","9,165","10,549","6,427","2,423","152","3","54,665","54,665","2,251","3,310","4,730","4,535","6,659","8,563","11,512","8,197","4,309","583","16"
"부산광역시 부산광역시 부산진구 (2623000000)","366,570","366,570","25,029","29,156","52,737","52,480","55,339","61,707","50,169","28,759","10,158","1,010","26","178,874","178,874","12,742","15,084","26,647","26,894","27,889","29,488","23,902","12,544","3,488","195","1","187,696","187,696","12,287","14,072","26,090","25,586","27,450","32,219","26,267","16,215","6,670","815","25","357,339","357,339","23,583","27,429","51,273","49,818","52,663","60,113","50,873","29,717","10,716","1,129","25","173,774","173,774","12,039","14,144","25,699","25,305","26,673","28,757","24,179","13,023","3,739","214","2","183,565","183,565","11,544","13,285","25,574","24,513","25,990","31,356","26,694","16,694","6,977","915","23","352,930","352,930","22,333","26,128","50,957","47,623","51,376","58,591","52,489","30,484","11,663","1,258","28","170,969","170,969","11,372","13,385","25,350","24,201","25,929","28,088","24,850","13,402","4,125","264","3","181,961","181,961","10,961","12,743","25,607","23,422","25,447","30,503","27,639","17,082","7,538","994","25","355,285","355,285","21,311","24,973","52,592","47,548","50,988","57,657","55,058","31,146","12,643","1,344","25","171,695","171,695","10,778","12,723","25,817","24,263","25,730","27,870","25,919","13,781","4,535","277","2","183,590","183,590","10,533","12,250","26,775","23,285","25,258","29,787","29,139","17,365","8,108","1,067","23","350,845","350,845","20,089","24,017","50,852","46,750","49,600","55,984","56,737","31,593","13,675","1,525","23","168,878","168,878","10,190","12,165","24,574","23,830","25,111","27,130","26,519","14,065","4,956","336","2","181,967","181,967","9,899","11,852","26,278","22,920","24,489","28,854","30,218","17,528","8,719","1,189","21","354,026","354,026","19,596","24,091","50,159","48,229","49,438","55,488","57,930","32,528","14,887","1,647","33","170,035","170,035","10,004","12,198","23,937","24,536","25,080","26,934","27,003","14,492","5,457","390","4","183,991","183,991","9,592","11,893","26,222","23,693","24,358","28,554","30,927","18,036","9,430","1,257","29"
"부산광역시 부산광역시 동래구 (2626000000)","267,960","267,960","19,923","27,067","34,354","34,417","43,620","45,770","36,347","19,120","6,547","774","21","131,338","131,338","10,334","14,248","18,305","17,312","21,134","21,585","17,111","8,841","2,294","172","2","136,622","136,622","9,589","12,819","16,049","17,105","22,486","24,185","19,236","10,279","4,253","602","19","263,800","263,800","19,153","25,968","33,562","33,400","42,022","44,731","37,191","20,011","6,933","809","20","129,032","129,032","9,947","13,645","17,796","16,799","20,350","21,038","17,492","9,267","2,519","176","3","134,768","134,768","9,206","12,323","15,766","16,601","21,672","23,693","19,699","10,744","4,414","633","17","268,608","268,608","19,977","25,458","33,371","33,811","42,622","44,903","38,933","21,093","7,503","914","23","131,052","131,052","10,298","13,386","17,553","16,973","20,706","21,187","18,212","9,777","2,763","195","2","137,556","137,556","9,679","12,072","15,818","16,838","21,916","23,716","20,721","11,316","4,740","719","21","268,165","268,165","19,620","24,928","32,565","32,838","42,739","43,825","40,491","22,020","8,110","1,007","22","130,563","130,563","10,168","12,993","17,032","16,475","20,843","20,799","18,809","10,175","3,050","218","1","137,602","137,602","9,452","11,935","15,533","16,363","21,896","23,026","21,682","11,845","5,060","789","21","265,278","265,278","18,718","24,485","31,116","31,495","42,180","42,922","41,685","22,708","8,854","1,093","22","128,896","128,896","9,682","12,740","16,196","15,850","20,652","20,479","19,222","10,421","3,402","250","2","136,382","136,382","9,036","11,745","14,920","15,645","21,528","22,443","22,463","12,287","5,452","843","20","272,228","272,228","19,270","25,559","30,267","32,237","43,625","43,435","42,768","24,040","9,799","1,203","25","131,779","131,779","9,856","13,312","15,538","16,193","21,324","20,878","19,618","11,006","3,778","272","4","140,449","140,449","9,414","12,247","14,729","16,044","22,301","22,557","23,150","13,034","6,021","931","21"
"부산광역시 부산광역시 남구 (2629000000)","270,980","270,980","19,331","25,863","35,578","33,796","43,991","44,032","37,719","22,487","7,330","833","20","133,218","133,218","9,831","13,543","19,004","17,241","22,070","21,157","17,555","10,132","2,529","155","1","137,762","137,762","9,500","12,320","16,574","16,555","21,921","22,875","20,164","12,355","4,801","678","19","277,069","277,069","20,424","25,515","36,046","34,664","43,952","44,812","39,100","23,585","8,051","902","18","136,086","136,086","10,382","13,241","19,305","17,587","22,117","21,549","18,189","10,632","2,902","178","4","140,983","140,983","10,042","12,274","16,741","17,077","21,835","23,263","20,911","12,953","5,149","724","14","271,693","271,693","19,568","24,245","35,537","32,645","42,727","43,664","39,454","24,174","8,669","988","22","133,237","133,237","9,964","12,535","18,916","16,647","21,446","21,111","18,287","10,885","3,245","196","5","138,456","138,456","9,604","11,710","16,621","15,998","21,281","22,553","21,167","13,289","5,424","792","17","265,073","265,073","18,046","22,988","35,102","29,967","41,428","42,186","40,382","24,578","9,332","1,038","26","129,838","129,838","9,208","11,913","18,554","15,363","20,823","20,577","18,585","11,024","3,576","211","4","135,235","135,235","8,838","11,075","16,548","14,604","20,605","21,609","21,797","13,554","5,756","827","22","260,440","260,440","16,605","22,491","34,051","28,055","40,093","41,752","41,153","25,008","10,051","1,155","26","127,164","127,164","8,463","11,588","17,917","14,425","20,109","20,446","18,933","11,142","3,888","249","4","133,276","133,276","8,142","10,903","16,134","13,630","19,984","21,306","22,220","13,866","6,163","906","22","255,160","255,160","15,004","22,372","32,954","26,501","38,663","41,080","40,997","25,389","10,939","1,233","28","124,523","124,523","7,685","11,465","17,415","13,653","19,301","20,289","18,864","11,258","4,307","284","2","130,637","130,637","7,319","10,907","15,539","12,848","19,362","20,791","22,133","14,131","6,632","949","26"
"부산광역시 부산광역시 북구 (2632000000)","300,935","300,935","22,831","28,972","42,912","38,763","46,562","57,642","37,815","18,283","6,403","734","18","149,267","149,267","11,725","15,248","22,905","19,934","22,410","28,024","18,751","8,162","1,961","146","1","151,668","151,668","11,106","13,724","20,007","18,829","24,152","29,618","19,064","10,121","4,442","588","17","295,020","295,020","21,652","26,993","41,338","37,244","43,765","57,076","39,935","19,228","6,924","845","20","146,192","146,192","11,111","14,151","22,193","19,094","21,308","27,516","19,814","8,639","2,195","170","1","148,828","148,828","10,541","12,842","19,145","18,150","22,457","29,560","20,121","10,589","4,729","675","19","289,198","289,198","20,468","25,213","39,451","35,216","42,012","55,837","42,332","20,246","7,472","932","19","143,202","143,202","10,536","13,127","21,243","18,118","20,670","26,756","20,940","9,185","2,440","183","4","145,996","145,996","9,932","12,086","18,208","17,098","21,342","29,081","21,392","11,061","5,032","749","15","282,133","282,133","18,985","23,266","37,475","33,290","40,151","53,495","45,156","21,164","8,143","986","22","139,584","139,584","9,818","12,110","20,213","17,239","19,889","25,442","22,277","9,672","2,739","182","3","142,549","142,549","9,167","11,156","17,262","16,051","20,262","28,053","22,879","11,492","5,404","804","19","282,058","282,058","18,332","22,415","35,599","33,532","39,554","52,098","48,427","22,127","8,865","1,086","23","139,149","139,149","9,417","11,673","19,033","17,526","19,701","24,533","23,824","10,171","3,068","201","2","142,909","142,909","8,915","10,742","16,566","16,006","19,853","27,565","24,603","11,956","5,797","885","21","278,000","278,000","17,198","21,898","32,803","33,239","38,347","50,178","50,116","23,306","9,742","1,145","28","136,770","136,770","8,845","11,372","17,446","17,428","19,193","23,517","24,430","10,831","3,502","204","2","141,230","141,230","8,353","10,526","15,357","15,811","19,154","26,661","25,686","12,475","6,240","941","26"
"부산광역시 부산광역시 해운대구 (2635000000)","407,770","407,770","31,901","43,831","51,554","51,382","71,020","69,960","49,612","27,035","10,285","1,173","17","197,487","197,487","16,659","22,799","27,031","24,582","33,800","33,576","23,582","11,808","3,387","260","3","210,283","210,283","15,242","21,032","24,523","26,800","37,220","36,384","26,030","15,227","6,898","913","14","405,113","405,113","30,692","41,866","51,003","50,232","68,370","70,420","51,735","28,420","11,042","1,317","16","195,778","195,778","15,987","21,706","26,691","24,139","32,552","33,592","24,589","12,487","3,752","282","1","209,335","209,335","14,705","20,160","24,312","26,093","35,818","36,828","27,146","15,933","7,290","1,035","15","401,876","401,876","29,720","39,827","49,943","48,287","66,637","70,194","54,210","29,624","11,927","1,484","23","193,892","193,892","15,476","20,584","26,177","23,473","31,579","33,379","25,731","13,006","4,148","336","3","207,984","207,984","14,244","19,243","23,766","24,814","35,058","36,815","28,479","16,618","7,779","1,148","20","398,153","398,153","28,478","38,049","48,827","46,351","65,045","69,389","57,129","30,432","12,818","1,608","27","191,717","191,717","14,733","19,673","25,616","22,581","30,845","32,926","27,066","13,411","4,519","341","6","206,436","206,436","13,745","18,376","23,211","23,770","34,200","36,463","30,063","17,021","8,299","1,267","21","393,533","393,533","27,068","36,830","46,679","44,808","63,391","68,694","59,517","30,993","13,716","1,795","42","189,210","189,210","13,962","18,968","24,361","21,986","30,252","32,619","27,974","13,795","4,892","393","8","204,323","204,323","13,106","17,862","22,318","22,822","33,139","36,075","31,543","17,198","8,824","1,402","34","384,684","384,684","24,876","36,219","43,128","42,630","61,105","67,527","60,436","32,143","14,680","1,891","49","184,457","184,457","12,775","18,653","22,523","20,858","29,146","32,019","28,424","14,336","5,287","426","10","200,227","200,227","12,101","17,566","20,605","21,772","31,959","35,508","32,012","17,807","9,393","1,465","39"
