"행정구역","2021년09월_총인구수","2021년09월_세대수","2021년09월_세대당 인구","2021년09월_남자 인구수","2021년09월_여자 인구수","2021년09월_남여 비율","2021년10월_총인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율","2021년11월_총인구수","2021년11월_세대수","2021년11월_세대당 인구","2021년11월_남자 인구수","2021년11월_여자 인구수","2021년11월_남여 비율","2021년12월_총인구수","2021년12월_세대수","2021년12월_세대당 인구","2021년12월_남자 인구수","2021년12월_여자 인구수","2021년12월_남여 비율","2022년01월_총인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년01월_남자 인구수","2022년01월_여자 인구수","2022년01월_남여 비율","2022년02월_총인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년02월_남자 인구수","2022년02월_여자 인구수","2022년02월_남여 비율","2022년03월_총인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년03월_남자 인구수","2022년03월_여자 인구수","2022년03월_남여 비율","2022년04월_총인구수","2022년04월_세대수","2022년04월_세대당 인구","2022년04월_남자 인구수","2022년04월_여자 인구수","2022년04월_남여 비율","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년05월_남자 인구수","2022년05월_여자 인구수","2022년05월_남여 비율","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율","2022년07월_총인구수","2022년07월_세대수","2022년07월_세대당 인구","2022년07월_남자 인구수","2022년07월_여자 인구수","2022년07월_남여 비율","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년08월_남여 비율","2022년09월_총인구수","2022년09월_세대수","2022년09월_세대당 인구","2022년09월_남자 인구수","2022년09월_여자 인구수","2022년09월_남여 비율","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율","2022년11월_총인구수","2022년11월_세대수","2022년11월_세대당 인구","2022년11월_남자 인구수","2022년11월_여자 인구수","2022년11월_남여 비율","2022년12월_총인구수","2022년12월_세대수","2022년12월_세대당 인구","2022년12월_남자 인구수","2022년12월_여자 인구수","2022년12월_남여 비율","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율","2023년04월_총인구수","2023년04월_세대수","2023년04월_세대당 인구","2023년04월_남자 인구수","2023년04월_여자 인구수","2023년04월_남여 비율","2023년05월_총인구수","2023년05월_세대수","2023년05월_세대당 인구","2023년05월_남자 인구수","2023년05월_여자 인구수","2023년05월_남여 비율","2023년06월_총인구수","2023년06월_세대수","2023년06월_세대당 인구","2023년06월_남자 인구수","2023년06월_여자 인구수","2023년06월_남여 비율","2023년07월_총인구수","2023년07월_세대수","2023년07월_세대당 인구","2023년07월_남자 인구수","2023년07월_여자 인구수","2023년07월_남여 비율","2023년08월_총인구수","2023년08월_세대수","2023년08월_세대당 인구","2023년08월_남자 인구수","2023년08월_여자 인구수","2023년08월_남여 비율","2023년09월_총인구수","2023년09월_세대수","2023년09월_세대당 인구","2023년09월_남자 인구수","2023년09월_여자 인구수","2023년09월_남여 비율"
"부산광역시  (2600000000)","3,358,763","1,540,342","          2.18","1,643,690","1,715,073","          0.96","3,356,311","1,541,975","          2.18","1,642,368","1,713,943","          0.96","3,353,627","1,543,438","          2.17","1,640,867","1,712,760","          0.96","3,350,380","1,544,663","          2.17","1,639,044","1,711,336","          0.96","3,348,874","1,546,414","          2.17","1,638,207","1,710,667","          0.96","3,347,396","1,549,967","          2.16","1,637,111","1,710,285","          0.96","3,343,504","1,551,767","          2.15","1,634,958","1,708,546","          0.96","3,340,214","1,553,032","          2.15","1,633,170","1,707,044","          0.96","3,338,167","1,555,326","          2.15","1,631,825","1,706,342","          0.96","3,336,737","1,556,938","          2.14","1,630,944","1,705,793","          0.96","3,334,595","1,558,052","          2.14","1,629,643","1,704,952","          0.96","3,331,444","1,559,462","          2.14","1,627,821","1,703,623","          0.96","3,323,826","1,555,449","          2.14","1,623,784","1,700,042","          0.96","3,322,286","1,556,293","          2.13","1,622,749","1,699,537","          0.95","3,320,276","1,555,836","          2.13","1,621,486","1,698,790","          0.95","3,317,812","1,555,867","          2.13","1,619,915","1,697,897","          0.95","3,316,107","1,556,086","          2.13","1,618,749","1,697,358","          0.95","3,315,516","1,559,593","          2.13","1,618,202","1,697,314","          0.95","3,313,539","1,561,008","          2.12","1,616,930","1,696,609","          0.95","3,311,402","1,561,666","          2.12","1,615,593","1,695,809","          0.95","3,309,261","1,562,595","          2.12","1,614,226","1,695,035","          0.95","3,306,993","1,563,362","          2.12","1,613,071","1,693,922","          0.95","3,305,052","1,564,252","          2.11","1,611,959","1,693,093","          0.95","3,302,740","1,564,900","          2.11","1,610,738","1,692,002","          0.95","3,300,836","1,565,115","          2.11","1,609,650","1,691,186","          0.95"
"부산광역시 부산광역시 중구 (2611000000)","40,708","23,878","          1.70","19,863","20,845","          0.95","40,676","23,909","          1.70","19,838","20,838","          0.95","40,556","23,898","          1.70","19,777","20,779","          0.95","40,524","23,925","          1.69","19,755","20,769","          0.95","40,537","23,979","          1.69","19,762","20,775","          0.95","40,582","24,129","          1.68","19,756","20,826","          0.95","40,596","24,218","          1.68","19,754","20,842","          0.95","40,585","24,269","          1.67","19,745","20,840","          0.95","40,537","24,303","          1.67","19,739","20,798","          0.95","40,455","24,304","          1.66","19,695","20,760","          0.95","40,342","24,275","          1.66","19,633","20,709","          0.95","40,297","24,265","          1.66","19,602","20,695","          0.95","40,117","24,107","          1.66","19,503","20,614","          0.95","39,936","24,056","          1.66","19,377","20,559","          0.94","39,840","24,012","          1.66","19,323","20,517","          0.94","39,689","23,960","          1.66","19,239","20,450","          0.94","39,627","23,965","          1.65","19,188","20,439","          0.94","39,711","24,123","          1.65","19,233","20,478","          0.94","39,589","24,099","          1.64","19,172","20,417","          0.94","39,478","24,061","          1.64","19,111","20,367","          0.94","39,411","24,066","          1.64","19,069","20,342","          0.94","39,311","24,040","          1.64","19,020","20,291","          0.94","39,151","23,983","          1.63","18,930","20,221","          0.94","39,060","23,931","          1.63","18,911","20,149","          0.94","38,956","23,874","          1.63","18,873","20,083","          0.94"
"부산광역시 부산광역시 서구 (2614000000)","105,813","53,097","          1.99","51,212","54,601","          0.94","105,557","53,038","          1.99","51,084","54,473","          0.94","105,406","53,019","          1.99","50,990","54,416","          0.94","105,164","52,960","          1.99","50,853","54,311","          0.94","104,863","52,853","          1.98","50,735","54,128","          0.94","104,618","52,900","          1.98","50,597","54,021","          0.94","104,323","52,895","          1.97","50,454","53,869","          0.94","103,961","52,822","          1.97","50,263","53,698","          0.94","103,810","52,852","          1.96","50,156","53,654","          0.93","104,340","53,109","          1.96","50,385","53,955","          0.93","104,755","53,342","          1.96","50,588","54,167","          0.93","105,386","53,667","          1.96","50,904","54,482","          0.93","105,380","53,621","          1.97","50,917","54,463","          0.93","105,358","53,657","          1.96","50,911","54,447","          0.94","105,286","53,648","          1.96","50,866","54,420","          0.93","105,192","53,626","          1.96","50,801","54,391","          0.93","105,036","53,592","          1.96","50,701","54,335","          0.93","104,952","53,689","          1.95","50,638","54,314","          0.93","104,798","53,670","          1.95","50,503","54,295","          0.93","104,738","53,640","          1.95","50,446","54,292","          0.93","104,570","53,593","          1.95","50,353","54,217","          0.93","104,449","53,542","          1.95","50,298","54,151","          0.93","104,299","53,519","          1.95","50,213","54,086","          0.93","104,304","53,521","          1.95","50,188","54,116","          0.93","104,251","53,510","          1.95","50,142","54,109","          0.93"
"부산광역시 부산광역시 동구 (2617000000)","87,595","46,046","          1.90","42,854","44,741","          0.96","87,705","46,123","          1.90","42,908","44,797","          0.96","87,770","46,243","          1.90","42,946","44,824","          0.96","87,679","46,362","          1.89","42,877","44,802","          0.96","87,906","46,597","          1.89","42,975","44,931","          0.96","88,245","46,829","          1.88","43,132","45,113","          0.96","88,283","46,938","          1.88","43,152","45,131","          0.96","88,257","46,970","          1.88","43,114","45,143","          0.96","88,222","47,024","          1.88","43,073","45,149","          0.95","88,087","47,052","          1.87","43,010","45,077","          0.95","87,851","46,982","          1.87","42,888","44,963","          0.95","87,701","47,011","          1.87","42,811","44,890","          0.95","87,103","46,553","          1.87","42,590","44,513","          0.96","86,948","46,535","          1.87","42,512","44,436","          0.96","86,670","46,402","          1.87","42,381","44,289","          0.96","86,462","46,349","          1.87","42,249","44,213","          0.96","86,349","46,322","          1.86","42,199","44,150","          0.96","85,988","46,224","          1.86","41,973","44,015","          0.95","85,839","46,196","          1.86","41,889","43,950","          0.95","85,629","46,162","          1.85","41,781","43,848","          0.95","85,520","46,152","          1.85","41,700","43,820","          0.95","86,809","46,797","          1.86","42,344","44,465","          0.95","87,721","47,279","          1.86","42,767","44,954","          0.95","88,027","47,445","          1.86","42,912","45,115","          0.95","88,069","47,503","          1.85","42,920","45,149","          0.95"
"부산광역시 부산광역시 영도구 (2620000000)","111,210","54,701","          2.03","54,786","56,424","          0.97","111,111","54,721","          2.03","54,707","56,404","          0.97","110,901","54,721","          2.03","54,612","56,289","          0.97","110,638","54,659","          2.02","54,471","56,167","          0.97","110,425","54,609","          2.02","54,372","56,053","          0.97","109,991","54,560","          2.02","54,185","55,806","          0.97","109,660","54,518","          2.01","54,032","55,628","          0.97","109,407","54,478","          2.01","53,883","55,524","          0.97","109,460","54,650","          2.00","53,912","55,548","          0.97","109,395","54,700","          2.00","53,890","55,505","          0.97","109,327","54,725","          2.00","53,854","55,473","          0.97","109,131","54,711","          1.99","53,773","55,358","          0.97","108,699","54,474","          2.00","53,519","55,180","          0.97","108,505","54,440","          1.99","53,391","55,114","          0.97","108,294","54,362","          1.99","53,300","54,994","          0.97","108,156","54,342","          1.99","53,223","54,933","          0.97","107,964","54,304","          1.99","53,123","54,841","          0.97","107,783","54,322","          1.98","53,039","54,744","          0.97","107,632","54,335","          1.98","52,942","54,690","          0.97","107,454","54,299","          1.98","52,869","54,585","          0.97","107,209","54,248","          1.98","52,716","54,493","          0.97","107,006","54,218","          1.97","52,612","54,394","          0.97","107,143","54,342","          1.97","52,659","54,484","          0.97","107,103","54,409","          1.97","52,650","54,453","          0.97","107,003","54,425","          1.97","52,565","54,438","          0.97"
"부산광역시 부산광역시 부산진구 (2623000000)","354,924","173,279","          2.05","171,079","183,845","          0.93","354,428","173,300","          2.05","170,785","183,643","          0.93","353,769","173,278","          2.04","170,491","183,278","          0.93","353,159","173,353","          2.04","170,181","182,978","          0.93","352,462","173,327","          2.03","169,873","182,589","          0.93","351,764","173,496","          2.03","169,496","182,268","          0.93","351,154","173,573","          2.02","169,185","181,969","          0.93","351,022","173,947","          2.02","169,057","181,965","          0.93","350,977","174,306","          2.01","168,938","182,039","          0.93","350,999","174,624","          2.01","168,924","182,075","          0.93","351,436","175,150","          2.01","169,171","182,265","          0.93","351,682","175,696","          2.00","169,220","182,462","          0.93","351,125","175,448","          2.00","168,896","182,229","          0.93","353,568","176,765","          2.00","170,113","183,455","          0.93","355,302","177,576","          2.00","170,933","184,369","          0.93","355,917","178,049","          2.00","171,141","184,776","          0.93","356,361","178,397","          2.00","171,314","185,047","          0.93","357,345","179,307","          1.99","171,699","185,646","          0.92","357,626","179,744","          1.99","171,814","185,812","          0.92","357,615","179,949","          1.99","171,805","185,810","          0.92","357,762","180,263","          1.98","171,865","185,897","          0.92","357,475","180,383","          1.98","171,710","185,765","          0.92","357,296","180,514","          1.98","171,650","185,646","          0.92","357,196","180,664","          1.98","171,587","185,609","          0.92","358,316","181,219","          1.98","172,142","186,174","          0.92"
"부산광역시 부산광역시 동래구 (2626000000)","267,425","115,356","          2.32","130,024","137,401","          0.95","266,912","115,301","          2.31","129,758","137,154","          0.95","266,570","115,310","          2.31","129,568","137,002","          0.95","266,866","115,718","          2.31","129,681","137,185","          0.95","270,338","117,211","          2.31","131,400","138,938","          0.95","273,802","118,748","          2.31","132,969","140,833","          0.94","274,134","119,112","          2.30","133,108","141,026","          0.94","273,976","119,227","          2.30","132,996","140,980","          0.94","273,996","119,446","          2.29","132,891","141,105","          0.94","274,491","119,772","          2.29","133,105","141,386","          0.94","274,769","120,011","          2.29","133,237","141,532","          0.94","274,638","119,984","          2.29","133,118","141,520","          0.94","274,136","119,696","          2.29","132,849","141,287","          0.94","273,790","119,629","          2.29","132,632","141,158","          0.94","273,447","119,508","          2.29","132,440","141,007","          0.94","273,226","119,503","          2.29","132,296","140,930","          0.94","273,177","119,557","          2.28","132,253","140,924","          0.94","273,351","119,887","          2.28","132,289","141,062","          0.94","273,195","119,963","          2.28","132,146","141,049","          0.94","273,034","119,980","          2.28","132,038","140,996","          0.94","272,797","120,032","          2.27","131,970","140,827","          0.94","272,590","120,060","          2.27","131,819","140,771","          0.94","272,376","120,056","          2.27","131,708","140,668","          0.94","272,176","120,076","          2.27","131,606","140,570","          0.94","271,877","119,933","          2.27","131,458","140,419","          0.94"
"부산광역시 부산광역시 남구 (2629000000)","263,262","117,793","          2.23","128,663","134,599","          0.96","263,236","118,005","          2.23","128,616","134,620","          0.96","262,856","117,987","          2.23","128,411","134,445","          0.96","262,069","117,821","          2.22","127,955","134,114","          0.95","261,209","117,619","          2.22","127,568","133,641","          0.95","260,624","117,815","          2.21","127,295","133,329","          0.95","260,581","118,153","          2.21","127,279","133,302","          0.95","260,617","118,406","          2.20","127,312","133,305","          0.96","260,261","118,544","          2.20","127,119","133,142","          0.95","259,735","118,480","          2.19","126,854","132,881","          0.95","259,135","118,358","          2.19","126,545","132,590","          0.95","258,660","118,468","          2.18","126,282","132,378","          0.95","257,934","118,179","          2.18","125,901","132,033","          0.95","257,147","117,964","          2.18","125,514","131,633","          0.95","256,647","117,707","          2.18","125,279","131,368","          0.95","256,333","117,601","          2.18","125,118","131,215","          0.95","256,190","117,668","          2.18","125,016","131,174","          0.95","256,371","118,209","          2.17","125,108","131,263","          0.95","256,332","118,462","          2.16","125,071","131,261","          0.95","256,257","118,556","          2.16","124,998","131,259","          0.95","256,133","118,686","          2.16","124,909","131,224","          0.95","255,786","118,673","          2.16","124,724","131,062","          0.95","255,392","118,641","          2.15","124,518","130,874","          0.95","255,095","118,641","          2.15","124,362","130,733","          0.95","254,599","118,470","          2.15","124,105","130,494","          0.95"
"부산광역시 부산광역시 북구 (2632000000)","283,937","122,950","          2.31","140,255","143,682","          0.98","283,766","123,090","          2.31","140,183","143,583","          0.98","283,584","123,283","          2.30","140,023","143,561","          0.98","283,211","123,316","          2.30","139,795","143,416","          0.97","282,535","123,247","          2.29","139,412","143,123","          0.97","281,749","123,263","          2.29","139,012","142,737","          0.97","281,198","123,286","          2.28","138,719","142,479","          0.97","280,852","123,330","          2.28","138,535","142,317","          0.97","280,647","123,469","          2.27","138,423","142,224","          0.97","280,511","123,579","          2.27","138,319","142,192","          0.97","280,268","123,626","          2.27","138,159","142,109","          0.97","280,116","123,788","          2.26","138,068","142,048","          0.97","279,964","123,761","          2.26","137,948","142,016","          0.97","279,770","123,831","          2.26","137,808","141,962","          0.97","279,303","123,693","          2.26","137,544","141,759","          0.97","278,857","123,569","          2.26","137,274","141,583","          0.97","278,575","123,569","          2.25","137,095","141,480","          0.97","278,059","123,568","          2.25","136,825","141,234","          0.97","277,756","123,573","          2.25","136,670","141,086","          0.97","277,390","123,532","          2.25","136,470","140,920","          0.97","276,982","123,510","          2.24","136,251","140,731","          0.97","276,684","123,558","          2.24","136,136","140,548","          0.97","276,316","123,504","          2.24","135,947","140,369","          0.97","275,670","123,417","          2.23","135,629","140,041","          0.97","274,961","123,253","          2.23","135,247","139,714","          0.97"
"부산광역시 부산광역시 해운대구 (2635000000)","397,918","172,237","          2.31","191,304","206,614","          0.93","397,516","172,349","          2.31","191,154","206,362","          0.93","397,071","172,455","          2.30","190,933","206,138","          0.93","396,438","172,397","          2.30","190,624","205,814","          0.93","395,788","172,327","          2.30","190,236","205,552","          0.93","394,792","172,279","          2.29","189,702","205,090","          0.92","393,809","172,227","          2.29","189,199","204,610","          0.92","393,130","172,217","          2.28","188,911","204,219","          0.93","392,110","172,126","          2.28","188,341","203,769","          0.92","391,311","171,960","          2.28","187,906","203,405","          0.92","390,782","172,005","          2.27","187,632","203,150","          0.92","389,841","171,837","          2.27","187,116","202,725","          0.92","388,393","170,998","          2.27","186,392","202,001","          0.92","387,840","170,828","          2.27","186,088","201,752","          0.92","387,297","170,637","          2.27","185,775","201,522","          0.92","386,785","170,435","          2.27","185,514","201,271","          0.92","386,289","170,261","          2.27","185,295","200,994","          0.92","385,516","170,331","          2.26","184,883","200,633","          0.92","384,866","170,251","          2.26","184,555","200,311","          0.92","384,335","170,185","          2.26","184,285","200,050","          0.92","384,036","170,221","          2.26","184,117","199,919","          0.92","383,355","170,143","          2.25","183,796","199,559","          0.92","383,042","170,207","          2.25","183,653","199,389","          0.92","382,448","170,087","          2.25","183,307","199,141","          0.92","382,115","170,022","          2.25","183,135","198,980","          0.92"
